Date,Description,Amount,Balance
2026-08-01,WHOLE FOODS MKT 1042,86.24,1420.11
2026-08-02,UBER TRIP 4821,14.90,1405.21
2026-08-03,STARBUCKS STORE 227,6.75,1398.46
2026-08-05,RENT AUGUST,1200.00,198.46
2026-08-07,NETFLIX SUBSCRIPTION,15.49,182.97
2026-08-09,SHELL FUEL 88,52.30,130.67
2026-08-11,WHOLE FOODS MKT 1042,63.18,67.49
2026-08-14,AMAZON MARKETPLACE,29.99,37.50
2026-08-15,CITY ELECTRIC UTILITY,74.20,-36.70
2026-08-18,UBER EATS ORDER,23.40,-60.10
2026-08-20,BLUE BOTTLE COFFEE,12.00,0
2026-08-21,PHARMACY PLUS,18.60,-78.70
2026-08-23,SPOTIFY PREMIUM,10.99,-89.69
2026-08-25,TRADER JOES 551,44.05,-133.74
2026-08-27,DELTA AIR LINES,312.60,-446.34
